Stage,Irs1,Nek2,Irs1.1,Igf1,Foxo3,Foxo3.1,Mdm2,Gli1,Ppp2ca,Rptor,Arf1,Rps6kb1,Stat3,Hif1a,Fos,Akt1,Edn1,Rb1,Rictor,Myc,Prr5,Skp2,Ptk2,Snai2,Gsk3b,Cip2a,Cdkn1a,Daxx,Mlst8,Vegfa,Men1,Pten,Pten.1,Tsc1,Mapkap1,E2f1,Pik3ca,Foxo1,Nras,Eif4e,Setd7,Mtor,Jun,Prkaa2,Cdkn2c,Rps6ka1,Pdx1,Rac1,Flt1,Cdkn1b,Cdkn1b.1,Raf1,Kras,Akt1s1,Igf1r,Mapk3,Ccne1,Iqgap1,Hras,Ccnd1,Eif4ebp1,Cdh1,Rassf1,Ctnnb1,Map2k1,Eif4e.1,IRS1,PTEN,FOXO3,EIF4E,CDKN1B
Normal,5.268672936,8.376109742,8.396080169,6.690333537,10.24328599,9.405320942,9.371592121,7.226437879,11.64968683,9.24804072,12.26670664,9.497744159,10.4632065,9.969261183,11.12836778,10.14289937,6.835955376,9.332010393,9.2536771,8.326355551,7.102028385,7.628410598,8.812213482,7.332841641,10.00337595,7.518217661,7.966511077,7.794347353,8.574745125,11.17537535,9.381010618,10.80643896,8.266631588,9.396299455,8.605255167,8.589191005,9.985814755,9.720720095,8.82775678,7.75058951,8.694135312,9.309824303,11.40019343,8.332392214,9.548618469,7.891558094,9.903806879,10.69360257,9.530670198,10.20921143,8.579012749,9.748112287,10.43958691,9.068403069,9.423151527,10.62115082,8.055217277,10.08065645,8.415244191,10.5266216,8.384076336,10.85250633,7.568438665,11.49737514,10.12117766,10.21507052,6.651030022,9.451605665,9.81536511,8.897910901,9.358683403
Normal,5.026740054,7.151224478,8.306550402,6.913622035,10.49315417,9.706693886,9.218768277,7.310228859,11.63289998,9.02816464,12.30948172,9.371791279,10.05642261,9.751757613,10.66903134,10.03007145,6.307497653,8.730681327,9.187663598,8.322139786,6.972134085,7.069367573,8.509684875,6.898806371,10.01418954,6.450862185,8.62715547,7.819785632,8.584945037,11.08488335,9.270519318,10.63399542,7.812162678,9.366532737,8.800487539,8.548289718,9.843872377,9.515755407,8.769857427,7.821659049,8.734148965,9.079247288,10.88862401,8.075850759,8.34054634,7.625379601,10.1285514,10.9028703,9.257150487,10.02856196,8.783142055,9.56692938,10.28676075,9.271433565,9.183551313,10.90051909,7.840048495,9.651933817,8.6671699,10.61313239,8.655141532,10.63632888,7.991163116,11.07252675,9.709446393,10.42638546,6.461800803,9.114521499,10.09226612,9.030594231,9.385216265
Normal,5.24927364,6.590696023,8.416436197,6.618310161,10.51398853,9.629109101,9.432220023,7.293659674,11.60036383,9.270950002,12.16284353,9.548572968,10.36598121,9.934235972,10.79287522,10.09110083,6.92510856,9.101808742,9.356329538,7.83962087,7.232997146,7.150642923,8.677858901,7.279802317,10.07757205,5.876681775,8.063190239,7.788950022,8.310419306,11.19470038,9.302601624,10.91547965,8.31171763,9.398392007,8.648091185,8.095370205,10.05611718,9.72142845,8.807777643,8.001972301,8.887050684,9.206912666,11.14760087,8.278676162,7.724871354,7.756877386,9.851959174,10.79218791,9.768571047,10.1308011,8.205047092,9.802153404,10.54234774,9.008469466,9.612597973,10.64677607,7.589955544,10.07126523,8.262446971,10.41602192,8.221702112,10.95676088,7.646972264,11.37444984,10.11726308,10.09415901,6.646817033,9.525039875,10.06182601,8.987390099,9.117219975
Tumor,5.594097451,9.772007091,8.500523281,8.047726678,9.810516717,9.342450095,9.300714368,7.415290138,11.356023,9.243516634,11.61190982,9.641744072,10.06013321,9.763062878,7.089992382,9.736813864,6.491459159,9.762156842,9.336946748,7.8102773,7.101352353,8.53813642,8.912240435,7.612995094,9.391951152,8.780572304,8.45886866,7.623736117,8.874406217,10.74635343,9.163308254,11.04069614,8.243242355,9.420512936,8.657452341,8.890202829,9.959958025,9.628284378,8.566563194,7.87771584,7.976449445,9.357723862,8.541971275,8.096650845,10.67251727,8.101933866,9.777236144,10.95167751,8.821988278,10.32298293,8.92935559,9.919865995,8.977557934,8.642773093,8.15165204,10.15215009,8.821294223,9.972701603,8.311743612,8.153068615,8.152027639,9.289289333,7.616131213,10.63289813,9.397029821,10.19297204,6.895850608,9.539975581,9.573623287,8.960878154,9.600915857
Tumor,5.397284703,9.623353061,8.359599773,7.76035646,9.903169399,9.008360822,9.3373489,7.243676493,11.45306073,9.328719148,12.07307282,9.504364306,9.857676834,9.86208737,7.204862145,9.651973652,6.440226126,9.389625578,9.288025062,7.623430462,7.051495432,8.820107243,9.271225483,8.134589264,10.14372904,9.340015439,8.603110715,7.937941946,8.823250631,11.2378982,9.254215758,10.77952476,8.126085908,9.384866432,8.811274349,9.15970825,9.972882952,9.562977794,8.878379487,7.856257466,8.295841792,9.231849379,8.344510406,8.465325915,11.22522185,8.071713435,9.664896357,10.83018978,9.401319556,10.68702019,9.276111968,10.03192583,9.74436947,9.004656287,8.616636993,10.46453299,9.230803324,10.15786235,8.534947345,8.483131001,8.378385829,9.300776295,7.433804771,11.11174769,9.65926848,10.22807743,6.717078232,9.359238442,9.4451746,8.964062119,9.956605641
Tumor,5.421429162,9.235182529,8.389818724,7.661734242,9.930853224,9.178100019,9.280411354,7.287537366,11.43454067,9.686052687,11.93019285,9.610225228,9.994871505,10.05566614,6.507239904,9.511694958,6.677345905,9.45250135,9.298816404,8.538307242,7.138919236,8.765629165,9.117999471,7.738635477,10.52776985,9.517707888,7.974685439,7.818777665,8.791692738,10.81022396,9.149622835,10.74992787,7.922094849,9.402706205,8.742788302,8.997374143,9.967017105,9.678845572,9.012924644,8.149442696,8.32155407,9.251305242,8.374015842,8.36042325,10.80620742,8.209830606,9.417597739,11.05688681,8.918136536,10.45824392,9.083987918,9.979797526,10.02973043,8.696678907,8.601226972,9.739024362,9.039250677,9.396533115,8.171382518,8.500332969,8.343229869,9.871955634,7.522042424,11.30401325,9.720250721,10.31316324,6.744242574,9.228323152,9.547060498,9.167689611,9.746925742
Tumor,5.317960907,10.39189342,8.914922575,7.964826106,10.59109067,9.393687177,9.545096869,7.212320964,11.62360386,9.361688474,12.15113546,9.69752846,10.40627058,9.953804156,6.973127874,9.818516064,6.351106045,9.666679662,9.339366977,7.82866865,6.950350393,8.557661747,8.79321169,7.343172137,9.524451533,8.944122378,8.347207923,7.886710167,8.858871701,10.60590984,9.521677404,11.07119712,8.179244156,9.339731983,8.670838764,9.093643944,10.06443043,9.682139786,9.154014432,7.913267438,8.220262052,9.519644878,8.859648462,8.514662368,11.07630799,8.275158659,9.882035473,10.99048175,8.743191484,10.55637863,9.261434474,10.05558666,9.72173505,8.783234527,8.571870852,10.58235477,9.009373609,10.16659279,8.54770016,8.169434651,8.501203162,10.11157601,7.581511902,11.28812848,9.694526226,10.46816165,6.885434608,9.515987828,9.974436957,9.101503322,9.887730222
Tumor,5.297042874,10.1947074,8.506823334,8.034089785,9.887022762,9.008434071,9.298451704,7.21686269,11.50052664,9.284499737,11.90419833,9.598105791,10.09162814,9.964634959,6.854032682,9.764660733,6.250824453,9.969041628,9.387054261,7.756774582,6.885523815,8.85200525,9.021865106,7.900873839,10.1685406,9.744309564,7.888375975,7.881522558,8.855992468,10.8155181,9.048287664,10.87061141,8.218306925,9.378759357,8.762738265,8.987218628,10.02431879,9.885216341,8.903510318,7.915361564,8.225739805,9.299027162,7.971605127,8.326148278,11.16291865,8.243345585,9.622563116,10.9786515,8.873841312,10.59974076,9.186558284,9.978640229,9.637876111,8.718778648,8.174220596,10.48518092,8.927155537,9.857324294,8.387452774,8.525147749,7.996982023,9.909920541,7.623247595,11.16769587,9.589938377,10.37521548,6.712749654,9.451879235,9.437509878,9.062206233,9.867884082
